2026-07-16 21:41:53 | training_carla_gru_best | INFO | Epoch 86: loss=0.1051, recon=0.0105, contrast=0.0001
2026-07-16 21:41:56 | training_carla_gru_best | INFO | Epoch 87: loss=0.1372, recon=0.0137, contrast=0.0001
2026-07-16 21:41:58 | training_carla_gru_best | INFO | Epoch 88: loss=0.1063, recon=0.0106, contrast=0.0000
2026-07-16 21:42:01 | training_carla_gru_best | INFO | Epoch 89: loss=0.0711, recon=0.0071, contrast=0.0001
2026-07-16 21:42:03 | training_carla_gru_best | INFO | Epoch 90: loss=0.1643, recon=0.0164, contrast=0.0001
2026-07-16 21:42:06 | training_carla_gru_best | INFO | Epoch 91: loss=0.0706, recon=0.0071, contrast=0.0000
2026-07-16 21:42:09 | training_carla_gru_best | INFO | Epoch 92: loss=0.0682, recon=0.0068, contrast=0.0000
2026-07-16 21:42:11 | training_carla_gru_best | INFO | Epoch 93: loss=0.1125, recon=0.0112, contrast=0.0000
2026-07-16 21:42:14 | training_carla_gru_best | INFO | Epoch 94: loss=0.0886, recon=0.0089, contrast=0.0000
2026-07-16 21:42:17 | training_carla_gru_best | INFO | Epoch 95: loss=0.0603, recon=0.0060, contrast=0.0001
2026-07-16 21:42:19 | training_carla_gru_best | INFO | Epoch 96: loss=0.0459, recon=0.0046, contrast=0.0000
2026-07-16 21:42:22 | training_carla_gru_best | INFO | Epoch 97: loss=0.1368, recon=0.0137, contrast=0.0000
2026-07-16 21:42:24 | training_carla_gru_best | INFO | Epoch 98: loss=0.1611, recon=0.0161, contrast=0.0000
2026-07-16 21:42:27 | training_carla_gru_best | INFO | Epoch 99: loss=0.0829, recon=0.0083, contrast=0.0000
2026-07-16 21:42:30 | training_carla_gru_best | INFO | Epoch 100: loss=0.0519, recon=0.0052, contrast=0.0000
