2026-07-17 20:16:39 | training_carla_lstm_best | INFO | Epoch 78: loss=0.0170, recon=0.0034, contrast=0.0001
2026-07-17 20:16:47 | training_carla_lstm_best | INFO | Epoch 79: loss=0.0175, recon=0.0035, contrast=0.0001
2026-07-17 20:16:54 | training_carla_lstm_best | INFO | Epoch 80: loss=0.0198, recon=0.0040, contrast=0.0001
2026-07-17 20:17:02 | training_carla_lstm_best | INFO | Epoch 81: loss=0.0167, recon=0.0033, contrast=0.0001
2026-07-17 20:17:10 | training_carla_lstm_best | INFO | Epoch 82: loss=0.0181, recon=0.0036, contrast=0.0000
2026-07-17 20:17:18 | training_carla_lstm_best | INFO | Epoch 83: loss=0.0165, recon=0.0033, contrast=0.0000
2026-07-17 20:17:26 | training_carla_lstm_best | INFO | Epoch 84: loss=0.0178, recon=0.0036, contrast=0.0001
2026-07-17 20:17:33 | training_carla_lstm_best | INFO | Epoch 85: loss=0.0162, recon=0.0032, contrast=0.0001
2026-07-17 20:17:41 | training_carla_lstm_best | INFO | Epoch 86: loss=0.0166, recon=0.0033, contrast=0.0000
2026-07-17 20:17:48 | training_carla_lstm_best | INFO | Epoch 87: loss=0.0154, recon=0.0031, contrast=0.0000
2026-07-17 20:17:56 | training_carla_lstm_best | INFO | Epoch 88: loss=0.0200, recon=0.0040, contrast=0.0000
2026-07-17 20:18:04 | training_carla_lstm_best | INFO | Epoch 89: loss=0.0142, recon=0.0028, contrast=0.0000
2026-07-17 20:18:11 | training_carla_lstm_best | INFO | Epoch 90: loss=0.0144, recon=0.0029, contrast=0.0000
2026-07-17 20:18:18 | training_carla_lstm_best | INFO | Epoch 91: loss=0.0176, recon=0.0035, contrast=0.0001
2026-07-17 20:18:26 | training_carla_lstm_best | INFO | Epoch 92: loss=0.0137, recon=0.0027, contrast=0.0001
2026-07-17 20:18:33 | training_carla_lstm_best | INFO | Epoch 93: loss=0.0204, recon=0.0041, contrast=0.0000
2026-07-17 20:18:41 | training_carla_lstm_best | INFO | Epoch 94: loss=0.0139, recon=0.0028, contrast=0.0000
2026-07-17 20:18:48 | training_carla_lstm_best | INFO | Epoch 95: loss=0.0131, recon=0.0026, contrast=0.0000
2026-07-17 20:18:56 | training_carla_lstm_best | INFO | Epoch 96: loss=0.0129, recon=0.0026, contrast=0.0000
2026-07-17 20:19:04 | training_carla_lstm_best | INFO | Epoch 97: loss=0.0155, recon=0.0031, contrast=0.0001
2026-07-17 20:19:11 | training_carla_lstm_best | INFO | Epoch 98: loss=0.0157, recon=0.0031, contrast=0.0000
2026-07-17 20:19:20 | training_carla_lstm_best | INFO | Epoch 99: loss=0.0122, recon=0.0024, contrast=0.0000
2026-07-17 20:19:28 | training_carla_lstm_best | INFO | Epoch 100: loss=0.0158, recon=0.0032, contrast=0.0000
2026-07-17 20:19:35 | training_carla_lstm_best | INFO | Epoch 101: loss=0.0136, recon=0.0027, contrast=0.0000
2026-07-17 20:19:43 | training_carla_lstm_best | INFO | Epoch 102: loss=0.0143, recon=0.0028, contrast=0.0000
2026-07-17 20:19:50 | training_carla_lstm_best | INFO | Epoch 103: loss=0.0141, recon=0.0028, contrast=0.0000
2026-07-17 20:19:58 | training_carla_lstm_best | INFO | Epoch 104: loss=0.0116, recon=0.0023, contrast=0.0000
2026-07-17 20:20:06 | training_carla_lstm_best | INFO | Epoch 105: loss=0.0134, recon=0.0027, contrast=0.0001
